LoginScene/Account Login,"계정 
로그인"
LoginScene/Username,"아이디"
LoginScene/Password,"비밀번호"
LoginScene/Server Region,"서버지역"
LoginScene/Select Region,"서버지역 선택"
LoginScene/US,"미국"
LoginScene/Korea,"한국"
LoginScene/Log in,"로그인"
LoginScene/Don't have an account?,"계정이 없으신가요?"
LoginScene/Sign up now!,"지금 가입하기"
LoginScene/Forgot your,"계정 찾기"
CreateAccountPanel/Create Account,"계정 생성"
CreateAccountPanel/Email,"이메일"
CreateAccountPanel/Create,"생성"
MainScreenButtons/HOME,"홈"
MainScreenButtons/PLAY,"플레이"
MainScreenButtons/JOIN PARTY,"로비
참가하기"
MainScreenButtons/CREATE PARTY,"로비
만들기"
MainScreenButtons/STORE,"상점"
MainScreenButtons/SETTINGS,"설정"
MainScreenButtons/QUIT,"나가기"
MainScreenRightPanel/Player Controls,"조작 방법"
MainScreenRightPanel/Settings,"설정"
MainScreenRightPanel/Player Status or Ready Status,"생존 상태 혹은 준비 상태"
MainScreenRightPanel/Run,"뛰기"
MainScreenRightPanel/Attack,"공격"
MainScreenRightPanel/COMING SOON...,"곧 출시 예정..."
MainScreenRightPanel/Room code,"로비 코드"
MainScreenRightPanel/Enter Room Code...,"로비 코드를 입력하세요..."
MainScreenRightPanel/Join,"참가"
MainScreenRightPanel/MATCHMAKING COMING SOON...,"매칭 메이킹 개발중..."
MainScreenRightPanel/Host Private Games with -Create Party-,"-로비 만들기-로 게임을 호스트하세요"
Settings/Full Screen,"전체 화면"
Settings/Mouse Sensitivity,"마우스 감도"
Settings/BACKGROUND MUSIC,"배경음악"
Settings/SFX VOLUME,"효과음"
Settings/Select Language,"언어 선택"
Lobby/Press C to Copy,"C를 눌러 로비 코드 복사하기"
Lobby/COPIED!,"복사 성공!"
Lobby/Lobby Code,"로비 코드:"
Lobby/Press F5 to Ready,"F5를 눌러 준비하기"
Lobby/Ready,"준비"
Lobby/Character Select,"캐릭터 선택"
LoadingScreen/Ondori Temple,"온도리 신전"
LoadingScreen/Conquer the Flag,"깃발 점령전"
LoadingScreen/L&O Railroad,"L&O 기찻길"
LoadingScreen/Steal the Chicken Wing,"닭다리 쟁탈전"
LoadingScreen/Cicen Castle,"시첸 성곽"
LoadingScreen/Death Match,"데스매치"
LoadingScreen/Chicken Farm,"양계장"
LoadingScreen/Lobby,"로비"
LoadingScreen/Jerk Beach,"저크 바닷가"
LoadingScreen/Djaj Domiaty,"드쟈즈 도미아티"
LoadingScreen/AIs Turn Right Only,"봇들이 우회전만 합니다"
LoadingScreen/Laika,"라이카"
EndGameText/Win by Killing,"생존 승리"
EndGameText/Win by Capturing,"쟁탈 승리"
EndGameText/Win by Conquering,"점령 승리"
EndGameText/Win by Disconnection,"연결 끊김 승리"
EndGameText/Player Kills,"플레이어 킬수"
EndGameText/Total Kills,"총 킬수"
EndGameText/Next Game Starts in,"다음 게임이 곧 시작됩니다."
EndGameText/Everyone Back to Lobby,"전원 로비로 돌아가기"
PopUp/The game is either in progress or has reached max capacity. Will exit to main screen automatically,"게임 진행중 혹은 한계 인원이 찼습니다.
자동으로 홈 화면으로 이동합니다."
GameExplain/Killing AI makes you unconscious,"봇을 죽이시 일시적으로 기절합니다."
GameExplain/Quickly alternating A and D keys will wake you up quicker,"A(좌) D(우)키를 연타하면 기절이 일찍 풀립니다."
GameExplain/You can't run again until stamina is fully charged again,"스테미나가 완전히 충전될때까지 다시 뛸 수 없습니다."
GameExplain/L&O railroad map is temporarily unavailable,"L&O 기찻길 맵이 일시적으로 점검에 들어갔습니다."
GameExplain/Egyptian map is coming soon!,"이집트 맵이 곧 추가됩니다!"
Matchmaking/Cancel looking for Match,"매치 찾기 취소"
Matchmaking/Match Found,"매치 찾음"
Matchmaking/Players looking for match,"매치 메이킹중인 플레이어들: "
Matchmaking/Timeout please wait 1 minute to press Play,"타임아웃, 1분 후에 다시 시도해주세요."
Matchmaking/Time elapsed,"경과 시간: "
Matchmaking/Tips about Matchmaking,"매치메이킹에 관한 팁"
Matchmaking/Once you start searching,"매치메이킹을 새로 시작할때 총 8명의 플레이어를 찾기 시작합니다. 매 10초마다 게임을 시작하는데 필요한 총 플레이어의 숫자가 하나씩 줄어들어 약 1분이 경과되었을때 최소 숫자인 총 2명의 플레이어를 매칭 시킵니다."
Matchmaking/The maximum wait time,"최대 매칭 시간은 15분입니다. 자리비움을 방지하기 위해 15분이 지난 후 매치메이킹은 자동으로 취소됩니다."
